id;grundstueck_id;police_nr;suchbegriff;status_code;status_text;zweck_code;zweck_text;baujahr;bauart_code;bauart_text;lage_code;lage_text;kanton;bezirk;gemeinde_bfs;gemeinde;strasse;strasse_nr;wohnung_nr;plz;plz_zusatz;ort;ort_zusatz;
01 10001;917;01 10001; ; ;aktiv;20;Reine Wohngebäude;1978;H;Hart; ; ;TG;6;4551;Aadorf *;Feldstr.;3; ; ; ; ; ;
01 10002;588;01 10002; ; ;aktiv;90;Nebengeb.u.nicht bes.eing.Geb.;1973;H;Hart; ; ;TG;6;4551;Aadorf *;Bohlstr.; ; ; ; ; ; ;
01 10003;313;01 10003; ; ;aktiv;73;Maschinenind. und Apparatebau;1974;H;Hart; ; ;TG;6;4551;Aadorf *;Wängistr.; ; ; ; ; ; ;
01 10004;201;01 10004; ; ;aktiv;32;Reine landw. Betriebsgebäude;1899;W;Weich; ; ;TG;6;4551;Aadorf *;Sulzerhof; ; ; ; ; ; ;
01 10005;201;01 10005; ; ;aktiv;32;Reine landw. Betriebsgebäude;1860;G;Gemischt; ; ;TG;6;4551;Aadorf *;Sulzerhof;5; ; ; ; ; ;
01 10006;352;01 10006; ; ;aktiv;90;Nebengeb.u.nicht bes.eing.Geb.;1974;H;Hart; ; ;TG;6;4551;Aadorf *;Grüntal; ; ; ; ; ; ;
01 10007;864;01 10007; ; ;aktiv;16;Kunst-,Kultur-undSportgebäude;1974;H;Hart; ; ;TG;6;4551;Aadorf *;In der Rotfarb; ; ; ; ; ; ;
01 10008;202;01 10008; ; ;aktiv;20;Reine Wohngebäude;1899;H;Hart; ; ;TG;6;4551;Aadorf *;Zürcherstr.;2; ; ; ; ; ;
01 10009;1;01 10009; ; ;aktiv;81;Gastwirtschaftsbetriebe;1899;G;Gemischt; ; ;TG;6;4551;Aadorf *;Hauptstr.;50/Grill El Capone; ; ; ; ; ;
01 10010;2;01 10010; ; ;aktiv;20;Reine Wohngebäude;1899;H;Hart; ; ;TG;6;4551;Aadorf *;Hauptstr.;48-48 a; ; ; ; ; ;
01 10011;201;01 10011; ; ;aktiv;32;Reine landw. Betriebsgebäude;1850;G;Gemischt; ; ;TG;6;4551;Aadorf *;Sulzerhof; ; ; ; ; ; ;
01 10012;724;01 10012; ; ;aktiv;90;Nebengeb.u.nicht bes.eing.Geb.;1974;G;Gemischt; ; ;TG;6;4551;Aadorf *;Höhenstr.; ; ; ; ; ; ;
01 10013;207;01 10013; ; ;aktiv;21;Wohngebäude mit Büros usw.;1912;H;Hart; ; ;TG;6;4551;Aadorf *;Morgentalstr.;44; ; ; ; ; ;
01 10014;207;01 10014; ; ;aktiv;90;Nebengeb.u.nicht bes.eing.Geb.;1912;G;Gemischt; ; ;TG;6;4551;Aadorf *;Morgentalstr.; ; ; ; ; ; ;
01 10015;6;01 10015; ; ;aktiv;20;Reine Wohngebäude;1910;H;Hart; ; ;TG;6;4551;Aadorf *;Morgentalstr.;33; ; ; ; ; ;
01 10016;165;01 10016; ; ;aktiv;10;Bürogebäude;1989;H;Hart; ; ;TG;6;4551;Aadorf *;Bahnhofstr.;2; ; ; ; ; ;
01 10017;1062;01 10017; ; ;aktiv;79;Diverse und gemischte Betriebe;1984;H;Hart; ; ;TG;6;4551;Aadorf *;Industriestr.;3; ; ; ; ; ;
01 10018;579;01 10018; ; ;aktiv;72;Metallgew. und Rohmaterialver.;1953;H;Hart; ; ;TG;6;4551;Aadorf *;Morgentalstr.; ; ; ; ; ; ;
01 10019;8;01 10019; ; ;aktiv;21;Wohngebäude mit Büros usw.;1920;H;Hart; ; ;TG;6;4551;Aadorf *;Morgentalstr.;31; ; ; ; ; ;
